name,address,city,postcode,latitude,longitude,logo
Confederation,1450 Nakina Drive,Thunder,P7C4W1,48.402726,-89.267491,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/conf_logo_tile2x.png?w=81
Northern,4715 Highway 101 East,South,P0N1H0,48.480469,-81.210078,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/nort_logo_tile.png?w=81
Sault,443 Northern Avenue,Sault,P6B4J3,46.532899,-84.313133,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/saul_logo_tile.png?w=81
Boréal,21 Lasalle Boulevard,Sudbury,P3A6B1,46.514787,-80.993980,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/bore_logo_tile.png?w=81
Cambrian,1400 Barrydowne Road,Sudbury,P3A3V8,46.531266,-80.939900,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/camb_logo_tile.png?w=81
Canadore,100 College Drive,North,P1B8K9,46.296695,-79.455783,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/cana_logo_tile.png?w=81
Algonquin,1385 Woodroffe Avenue,Ottawa,K2G1V8,45.349077,-75.761072,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/algo_logo_tile.png?w=81
La Cité,801 Aviation Parkway,Ottawa,K1K4R3,45.439579,-75.627093,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/laci_logo_tile.png?w=81
St. Lawrence,100 Portsmouth Avenue,Kingston,K7L5A6,44.223513,-76.526756,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/slaw_logo_tile.png?w=81
Loyalist,376 Wallbridge-Loyalist Road,Belleville,K8N5B9,44.176977,-77.389889,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/loyt-logo-tile_20211014201855_0.png?w=81
Fleming,599 Brealey Drive,Peterborough,K9J7B1,44.269233,-78.374985,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/ssfl_logo_tile.png?w=81
Durham,2000 Simcoe Street North,Oshawa,L1H7K4,44.011418,-78.954493,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/durh_logo_tile.png?w=81
Georgian,One Georgian Drive,Barrie,L4M3X9,44.414473,-79.668836,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/geor_logo_tile.png?w=81
Centennial,941 Progress Avenue,Toronto,M1G3T8,43.784767,-79.229631,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/cent_logo_tile.png?w=81
Humber,205 Humber College Boulevard,Toronto,M9W5L7,43.729167,-79.606840,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/humb_logo_tile.png?w=81
George Brown,200 King Street East,Toronto,M5A3W8,43.651109,-79.370189,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/gbtc_logo_tile.png?w=81
Michener,222 St. Patrick Street,Toronto,M5T1V4,43.655471,-79.391099,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/mich_logo_tile.png?w=81
Seneca,1750 Finch Avenue East,Toronto,M2J2X5,43.795789,-79.348991,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/sene_logo_tile.png?w=81
Sheridan,1430 Trafalgar Road,Oakville,L6H2L1,43.468598,-79.700427,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/sher_logo_tile.png?w=81
Conestoga,299 Doon Valley Drive,Kitchener,N2G4M4,43.391818,-80.408959,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/cons_logo_tile.png?w=81
Mohawk,135 Fennell Avenue West,Hamilton,9C 0E5,43.2388127,-79.882946,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/moha_logo_tile.png?w=81
Niagara,100 Niagara College Boulevard,Welland,L3C7L3,43.015091,-79.262685,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/niag_logo_tile.png?w=81
Niagara Parks,2565 Niagara Parkway,Niagara,L2E6T2,43.119060,-79.075314,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/npsh_logo_tile.png?w=81
Fanshawe,"1001 Fanshawe College Boulevard, PO Box 7005",London,N5Y5R6,43.012185,-81.197073,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/fans_logo_tile.png?w=81
Ridgetown campus,120 Main Street,Ridgetown,N0P2C0,42.442448,-81.876433,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/ridg_logo_tile.png?w=81
St. Clair,2000 Talbot Road West,Windsor,N9A6S4,42.291979,-83.069952,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/stcl_logo_tile.png?w=81
Lambton,1457 London Road,Sarnia,N7S6K4,42.979201,-82.349561,https://az184419.vo.msecnd.net/ontario-colleges/Website/images/colleges/college-logos/tiles-logos/lamb_logo_tile_81x81.png?w=81
